StudentID,StudentName,Class,Subject,Marks,TeacherEmail
1,Student1,10B,Science,51,science.teacher@school.com
2,Student2,10C,English,52,english.teacher@school.com
3,Student3,10A,Math,53,math.teacher@school.com
4,Student4,10B,Science,54,science.teacher@school.com
5,Student5,10C,English,55,english.teacher@school.com
6,Student6,10A,Math,56,math.teacher@school.com
7,Student7,10B,Science,57,science.teacher@school.com
8,Student8,10C,English,58,english.teacher@school.com
9,Student9,10A,Math,59,math.teacher@school.com
10,Student10,10B,Science,60,science.teacher@school.com
11,Student11,10C,English,61,english.teacher@school.com
12,Student12,10A,Math,62,math.teacher@school.com
13,Student13,10B,Science,63,science.teacher@school.com
14,Student14,10C,English,64,english.teacher@school.com
15,Student15,10A,Math,65,math.teacher@school.com
16,Student16,10B,Science,66,science.teacher@school.com
17,Student17,10C,English,67,english.teacher@school.com
18,Student18,10A,Math,68,math.teacher@school.com
19,Student19,10B,Science,69,science.teacher@school.com
20,Student20,10C,English,70,english.teacher@school.com
21,Student21,10A,Math,71,math.teacher@school.com
22,Student22,10B,Science,72,science.teacher@school.com
23,Student23,10C,English,73,english.teacher@school.com
24,Student24,10A,Math,74,math.teacher@school.com
25,Student25,10B,Science,75,science.teacher@school.com
26,Student26,10C,English,76,english.teacher@school.com
27,Student27,10A,Math,77,math.teacher@school.com
28,Student28,10B,Science,78,science.teacher@school.com
29,Student29,10C,English,79,english.teacher@school.com
30,Student30,10A,Math,80,math.teacher@school.com
31,Student31,10B,Science,81,science.teacher@school.com
32,Student32,10C,English,82,english.teacher@school.com
33,Student33,10A,Math,83,math.teacher@school.com
34,Student34,10B,Science,84,science.teacher@school.com
35,Student35,10C,English,85,english.teacher@school.com
36,Student36,10A,Math,86,math.teacher@school.com
37,Student37,10B,Science,87,science.teacher@school.com
38,Student38,10C,English,88,english.teacher@school.com
39,Student39,10A,Math,89,math.teacher@school.com
40,Student40,10B,Science,90,science.teacher@school.com
41,Student41,10C,English,91,english.teacher@school.com
42,Student42,10A,Math,92,math.teacher@school.com
43,Student43,10B,Science,93,science.teacher@school.com
44,Student44,10C,English,94,english.teacher@school.com
45,Student45,10A,Math,95,math.teacher@school.com
46,Student46,10B,Science,96,science.teacher@school.com
47,Student47,10C,English,97,english.teacher@school.com
48,Student48,10A,Math,98,math.teacher@school.com
49,Student49,10B,Science,99,science.teacher@school.com
50,Student50,10C,English,50,english.teacher@school.com
51,Student51,10A,Math,51,math.teacher@school.com
52,Student52,10B,Science,52,science.teacher@school.com
53,Student53,10C,English,53,english.teacher@school.com
54,Student54,10A,Math,54,math.teacher@school.com
55,Student55,10B,Science,55,science.teacher@school.com
56,Student56,10C,English,56,english.teacher@school.com
57,Student57,10A,Math,57,math.teacher@school.com
58,Student58,10B,Science,58,science.teacher@school.com
59,Student59,10C,English,59,english.teacher@school.com
60,Student60,10A,Math,60,math.teacher@school.com
